As of Date,Fiscal Year,Region,Borrower Country,Borrower Country Code,Project ID,Project Name,Procurement Type,Procurement Category,Procurement Method,Product line,WB Contract Number,Major Sector,Contract Description,Contract Signing Date,Supplier,Supplier Country,Supplier Country Code,Total Contract Amount (USD),Borrower Contract Reference Number
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P124514,BD: Local Governance Support Project II,Audit Services,Consultant Services,Quality And Cost-Based Selection,IBRD/IDA,1328430,"Public Administration, Law, and Justice",Selection of Audit firms for Annual Audits of Union Parishad,11/12/2012 0:00,SAHA MAZUMDER & CO.,Bangladesh,BD,"$14,193.00 ",S-24
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P117248,BD: Deepening MTBF and FM Accountability,Training/Knowledge Transfer,Consultant Services,Single Source Selection,Recipient Executed Activities,1324342,"Public Administration, Law, and Justice",S-67: International Short Term Consultant,7/18/2012 0:00,JUAN CARLOS VILANOVA,Spain,ES,"$16,329.00 ",S-67: INTERNATIONAL CONSULTANT
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P117248,BD: Deepening MTBF and FM Accountability,Training/Knowledge Transfer,Consultant Services,Single Source Selection,Recipient Executed Activities,1324346,"Public Administration, Law, and Justice",S-68: International Short Term Consultant,7/18/2012 0:00,MICHEL VAUGEOIS,United States,US,"$20,891.00 ",S-68: INTERNATIONAL CONSULTANT
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P098146,BD: Public Procurement Reform Project II,ICT/Telecommunications Services,Consultant Services,Single Source Selection,IBRD/IDA,1328098,"Public Administration, Law, and Justice",Hostingof CPTU website,11/22/2012 0:00,DOHATEC NEW MEDIA,Bangladesh,BD,"$54,781.00 ",S-46
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P124514,BD: Local Governance Support Project II,Audit Services,Consultant Services,Quality And Cost-Based Selection,IBRD/IDA,1328441,"Public Administration, Law, and Justice",Selection of Audit Firms for Annual Audit of Union Parishads,11/12/2012 0:00,MUHAMMAD SHAHEEDULLAH & CO.,Bangladesh,BD,"$170,687.00 ",S-25
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P106161,BD: Sec. Educ Qlty & Access Enhancement,"Management Advice, Technical/Operation A",Consultant Services,Individual,IBRD/IDA,1324736,Education,S-15.1: FM Specialist,9/13/2012 0:00,GHAZI MD. MOHSIN,Bangladesh,BD,"$49,863.00 ",S-15.1: FM SPECIALIST
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P106161,BD: Sec. Educ Qlty & Access Enhancement,Financial Services,Consultant Services,Individual,IBRD/IDA,1327785,Education,S-15.2: Financial Management Consultant,8/14/2012 0:00,MD. ABUL QUASEM,Bangladesh,BD,"$29,358.00 ",S-15.2: FINANCIAL MANAGEMENT CON
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P124514,BD: Local Governance Support Project II,Institution building,Consultant Services,Individual,IBRD/IDA,1325663,"Public Administration, Law, and Justice",Selection of Senior Capacity Building Specialist,9/10/2012 0:00,A.J. MINHAJ UDDIN AHMAD,Bangladesh,BD,"$132,070.00 ",S-18
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P124514,BD: Local Governance Support Project II,"Management Advice, Technical/Operation A",Consultant Services,Individual,IBRD/IDA,1325658,"Public Administration, Law, and Justice",Senior Management Information System (MIS) Specialist,9/17/2012 0:00,FAISAL HASAN,Bangladesh,BD,"$221,836.00 ",S-04
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P120125,BD: Strengthening Auditor Gen.'s Office,Project Management,Consultant Services,Individual,Recipient Executed Activities,1326003,"Public Administration, Law, and Justice",S-03: Project Implementation Specialist,7/29/2012 0:00,MD. ABDUS SALAM,Bangladesh,BD,"$84,275.00 ",S-03: PROJECT IMPLEMENTATION SPE
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P120125,BD: Strengthening Auditor Gen.'s Office,"Tender Documents, Procurement Assistance",Consultant Services,Individual,Recipient Executed Activities,1327173,"Public Administration, Law, and Justice",S-02: Procurement Specialist,10/10/2012 0:00,SHAH MD. NAZMUL KARIM,Bangladesh,BD,"$47,227.00 ",S-02: PROCUREMENT SPECIALIST
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P125447,BD: Community Climate Change Project,Project Management,Consultant Services,Individual,Recipient Executed Activities,1324625,"Agriculture, fishing, and forestry",Selcetion of Project Co-ordinator,8/30/2012 0:00,DR. FAZLE RABBI SADEQUE AHMED,Bangladesh,BD,"$31,820.00 ",S-01: PROJECT CO-ORDINATOR
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P111272,BD:Emergency 2007 Cyclone Recovery &Rest,"Works, Buildings",Civil Works,National Competitive Bidding,IBRD/IDA,1328182,"Water, sanitation and flood protection",LGED/BAR/NW-25: Construction of 8 nos. New School cum Disast,7/26/2012 0:00,KOHINOOR ENTERPRISE,Bangladesh,BD,"$3,037,165.00 ",LGED/BAR/NW-25: 8 NOS SHELTER AT
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P111272,BD:Emergency 2007 Cyclone Recovery &Rest,"Works, Buildings",Civil Works,National Competitive Bidding,IBRD/IDA,1325737,"Water, sanitation and flood protection",LGED/NW-24: Cyclone Sherter in Barguna,10/10/2012 0:00,PADMA ASSOCIATES & ENGINEERS LTD.,Bangladesh,BD,"$1,092,413.00 ",LGED/NW-24: CYCLONE SHERTER IN B
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P111272,BD:Emergency 2007 Cyclone Recovery &Rest,"Works, Buildings",Civil Works,National Competitive Bidding,IBRD/IDA,1325737,"Water, sanitation and flood protection",LGED/NW-24: Cyclone Sherter in Barguna,10/10/2012 0:00,POLY CONSTRUCTION,Bangladesh,BD,"$1,092,413.00 ",LGED/NW-24: CYCLONE SHERTER IN B
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P111272,BD:Emergency 2007 Cyclone Recovery &Rest,"Works, Buildings",Civil Works,National Competitive Bidding,IBRD/IDA,1328183,"Water, sanitation and flood protection",LGED/SAT/NW-19: Construction of 8 nos. New School cum Disast,8/14/2012 0:00,ABUL KALAM AZAD,Bangladesh,BD,"$2,937,754.00 ",LGED/SAT/NW-19: 8 NOS. SHELT AT
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P078707,BD: Power Sector Development TA,Administrative Services,Consultant Services,Individual,IBRD/IDA,1327822,Energy and mining,S-74: Consultant for CFL,8/28/2012 0:00,DR. GERT WEMMER,Germany,DE,"$45,640.00 ",S-74: CONSULTANT FOR CFL
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P106332,BD: Disability and Children at Risk,"Tender Documents, Procurement Assistance",Consultant Services,Individual,IBRD/IDA,1324359,Health and other social services,Selection of a Procurement Specialist,7/15/2012 0:00,MD. GIASUDDIN,Bangladesh,BD,"$26,508.00 ",SD-3A
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P084078,BD:National Agricultural Technology Proj,Policy and Strategy,Consultant Services,Individual,IBRD/IDA,1326991,"Agriculture, fishing, and forestry",PS/LS/10: National Livestock Extension Policy Development Co,8/13/2012 0:00,MD. ABDUR RAZZAQUE MIA,Bangladesh,BD,"$28,203.00 ",PS/LS/10: NLEP DEVELOPMENT CONSU
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P062916,BD Central Bank Strengthening Project,Equipment Information Technology,Goods,International Competitive Bidding,IBRD/IDA,1326794,Finance,"Procurement of Hardware, Standard Software and Related suppo",10/25/2012 0:00,THAKRAL INFORMATION SYSTEMS PVT. LTD.,Bangladesh,BD,"$942,668.00 ",BB(G) IT-15
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P118708,BD: Health Sector Development Program,"Pharmaceuticals, Medical Products",Goods,Direct Contracting,IBRD/IDA,1327370,Health and other social services,Procurement of vaccines for NID&EPI for year 2013,11/8/2012 0:00,UNITED NATIONS CHILDREN'S FUND (UNICEF),World,1W,"$22,750,000.00 ",NID&EPI VACCINE FOR 2013
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P111272,BD:Emergency 2007 Cyclone Recovery &Rest,Training/Knowledge Transfer,Consultant Services,Individual,IBRD/IDA,1324761,"Water, sanitation and flood protection",PCMU-S5: Training Need Assessment and Logistic specialist,8/14/2012 0:00,BADRUL ALAM TARAFDAR,Bangladesh,BD,"$23,853.00 ",PCMU-S5: TRAINING NEED ASSESSMEN
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P098151,BD: Clean Air & Sustainable Environment,"Tender Documents, Procurement Assistance",Consultant Services,Individual,IBRD/IDA,1323581,Transportation,DCC-S6A: Procurement Consultant,8/8/2012 0:00,MR. SHAHID ABU HASAN,Bangladesh,BD,"$17,175.00 ",DCC-S6A: PROCUREMENT CONSULTANT
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P098151,BD: Clean Air & Sustainable Environment,Audit Services,Consultant Services,Least Cost Selection,IBRD/IDA,1327963,Transportation,DCC-S9: Internal & Operational Audit,11/15/2012 0:00,M. I. CHOWDHURY & CO.,Bangladesh,BD,"$17,972.00 ",DCC-S9: INTERNAL & OPERATIONAL A
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P098151,BD: Clean Air & Sustainable Environment,"Works, Infrastructure",Civil Works,National Competitive Bidding,IBRD/IDA,1328179,Transportation,DCC-W3A: Construction of Sidewalk & Road Improvement Work at,8/15/2012 0:00,ABUL & BROTHER'S (AB),Bangladesh,BD,"$1,537,741.00 ",DCC-W3A: RD IMPVMNT AT KHILGAON
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P098151,BD: Clean Air & Sustainable Environment,"Works, Infrastructure",Civil Works,National Competitive Bidding,IBRD/IDA,1328179,Transportation,DCC-W3A: Construction of Sidewalk & Road Improvement Work at,8/15/2012 0:00,SHAHID BROTHER'S (SB),Bangladesh,BD,"$1,537,741.00 ",DCC-W3A: RD IMPVMNT AT KHILGAON
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P098151,BD: Clean Air & Sustainable Environment,"Works, Infrastructure",Civil Works,National Competitive Bidding,IBRD/IDA,1328180,Transportation,DCC-W3B: Construction of Sidewalk & Road Improvement Work at,9/4/2012 0:00,NATTY COM (PVT.) LTD.,Bangladesh,BD,"$1,343,432.00 ",DCC-W3B: RD IMPVMNT AT KHILGAON
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P098151,BD: Clean Air & Sustainable Environment,"Works, Infrastructure",Civil Works,National Competitive Bidding,IBRD/IDA,1328180,Transportation,DCC-W3B: Construction of Sidewalk & Road Improvement Work at,9/4/2012 0:00,A. MANNAN & CO.,Bangladesh,BD,"$1,343,432.00 ",DCC-W3B: RD IMPVMNT AT KHILGAON
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P106216,BD: Higher Education Quality Enhancement,Equipment Information Technology,Goods,National Competitive Bidding,IBRD/IDA,1327010,Education,G1 (CP-174): ICT Laptops and Desktops,9/16/2012 0:00,FLORA LIMITED,Bangladesh,BD,"$68,991.00 ",G1 (CP-174): ICT LAPTOPS AND DES
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P106216,BD: Higher Education Quality Enhancement,"Equipment, Medical",Goods,National Competitive Bidding,IBRD/IDA,1322732,Education,G-1 (CP-236) Lot 2: DNA/RANA PRotein Analysis Equipment by U,7/4/2012 0:00,BANGLADESH SCIENCE HOUSE,Bangladesh,BD,"$25,790.00 ",G-1 (CP-236) LOT 2: DNA/RANA PRO
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P106216,BD: Higher Education Quality Enhancement,"Equipment, Medical",Goods,National Competitive Bidding,IBRD/IDA,1322733,Education,G-1 (CP-236) Lot 3: DNA/RANA PRotein Analysis Equipment by U,7/4/2012 0:00,BANGLADESH SCIENCE HOUSE,Bangladesh,BD,"$30,007.00 ",G-1 (CP-236) LOT 3: DNA/RANA PRO
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P118708,BD: Health Sector Development Program,"Equipment, Medical",Goods,International Competitive Bidding,IBRD/IDA,1326784,Health and other social services,Procurement of Autoclave and Sterilizer Equipment,8/15/2012 0:00,ESTEEM INDUSTRIES INC,India,IN,"$11,300.00 ",G-1110 (LOT-1)
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P118708,BD: Health Sector Development Program,"Equipment, Medical",Goods,International Competitive Bidding,IBRD/IDA,1326787,Health and other social services,Procurement of Autoclave and Sterilizer Equipment,9/16/2012 0:00,S.S. SCIENTIFIC CORPORATION,Bangladesh,BD,"$437,800.00 ",G-1110 (LOT-2)
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P118708,BD: Health Sector Development Program,"Equipment, Medical",Goods,International Competitive Bidding,IBRD/IDA,1324675,Health and other social services,Procurement of Centrifuge Machine,7/4/2012 0:00,A & E INTERNATIONAL,Bangladesh,BD,"$97,136.00 ",G-1116
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P118708,BD: Health Sector Development Program,"Equipment, Medical",Goods,International Competitive Bidding,IBRD/IDA,1326928,Health and other social services,Procurementr of Lab Equipment,9/3/2012 0:00,DIAMED,Bangladesh,BD,"$357,499.00 ",G-1117- (LOT-2)
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P118708,BD: Health Sector Development Program,"Equipment, Mining",Goods,International Competitive Bidding,IBRD/IDA,1328421,Health and other social services,Procurement of Microscope,10/22/2012 0:00,BENGAL SCIENTIFIC & SURGICAL CO.,Bangladesh,BD,"$33,748.00 ",G-1122 (LOT-A)
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P118708,BD: Health Sector Development Program,"Pharmaceuticals, Medical Products",Goods,International Competitive Bidding,IBRD/IDA,1325892,Health and other social services,Procurement of Medical Consumable and Accessories,7/26/2012 0:00,TRADE HOUSE,Bangladesh,BD,"$709,328.00 ",G-1127 (SUB-PKG. A)
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P118708,BD: Health Sector Development Program,"Pharmaceuticals, Medical Products",Goods,International Competitive Bidding,IBRD/IDA,1327627,Health and other social services,Procurement of Medical Consumable and Accessories,10/3/2012 0:00,"IRMECO GMBH & CO. KG, INDUSTRIESTR",Germany,DE,"$336,157.00 ",G-1127 (SUB-PKG.-B)
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P118708,BD: Health Sector Development Program,"Pharmaceuticals, Medical Products",Goods,International Competitive Bidding,IBRD/IDA,1326788,Health and other social services,Procurement of Anti-Tuberculosis Drugs,8/7/2012 0:00,SVIZERA EUROPE BV,Netherlands,NL,"$100,500.00 ",G-1132 (LOT-2)
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P118708,BD: Health Sector Development Program,"Pharmaceuticals, Medical Products",Goods,International Competitive Bidding,IBRD/IDA,1325893,Health and other social services,Procurement of Reagent and Chemical,7/10/2012 0:00,SENSE LTD.,Bangladesh,BD,"$286,788.00 ",G-1144 (LOT-A)
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P118708,BD: Health Sector Development Program,"Pharmaceuticals, Medical Products",Goods,International Competitive Bidding,IBRD/IDA,1325895,Health and other social services,Procurement of Reagent and Chemicals,7/10/2012 0:00,HOSPI LAB ESSENTIALS,Bangladesh,BD,"$62,898.00 ",G-1144 (LOT-B)
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P118708,BD: Health Sector Development Program,"Pharmaceuticals, Medical Products",Goods,International Competitive Bidding,IBRD/IDA,1325896,Health and other social services,Procurement of Reagent & Chemical,8/9/2012 0:00,SENSE LTD.,Bangladesh,BD,"$93,022.00 ",G-1144 (LOT-C)
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P118708,BD: Health Sector Development Program,"Pharmaceuticals, Medical Products",Goods,International Competitive Bidding,IBRD/IDA,1325894,Health and other social services,Procurement of Reagent and Chemical,7/10/2012 0:00,CITY OVERSEAS LIMITED,Bangladesh,BD,"$228,809.00 ",G-1144 (LOT-D)
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P118708,BD: Health Sector Development Program,"Equipment, Medical",Goods,International Competitive Bidding,IBRD/IDA,1324672,Health and other social services,Procurement of MRI Machine,7/31/2012 0:00,HITACHI MEDICAL SYSTEMS (S) PTE. LTD.,Singapore,SG,"$1,150,000.00 ",G-1174
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P118708,BD: Health Sector Development Program,"Equipment, Medical",Goods,International Competitive Bidding,IBRD/IDA,1325620,Health and other social services,Procurement of Weight Machine.,8/29/2012 0:00,SMITH & ANVIL LTD.,Bangladesh,BD,"$445,278.00 ",G-1184
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P106216,BD: Higher Education Quality Enhancement,"Equipment, Educational",Goods,National Competitive Bidding,IBRD/IDA,1323121,Education,"G9 (CP-437): Supply, Installation and Commissioning of Equip",7/5/2012 0:00,BLC ENGINEER,Bangladesh,BD,"$128,656.00 ",G9 (CP-437): LAB EQUIP. FOR MAWL
12/18/2012 0:00,2013,SOUTH ASIA,Bangladesh,BD,P118708,BD: Health Sector Development Program,"Pharmaceuticals, Medical Products",Goods,Direct Contracting,IBRD/IDA,1321725,Health and other social services,Procurement of Contraceptives Implant,7/2/2012 0:00,MSD OSS BV,Netherlands,NL,"$7,349,580.00 ",GFP-04/11
12/18/2012 0:00,2013,EUROPE AND CENTRAL ASIA,Belarus,BY,P125389,BY Privatization,Financial Services,Consultant Services,Quality And Cost-Based Selection,Recipient Executed Activities,1327503,Industry and trade,Provision of privatization advisory services in relation to,10/5/2012 0:00,ERNST & YOUNG FOREIGN LTD LIABILITY CO,Belarus,BY,"$294,300.00 ",S-03/11
12/18/2012 0:00,2013,EUROPE AND CENTRAL ASIA,Belarus,BY,P095115,POST-CHERNOBYL RECOVERY,"Works, Maintenance and Rehabilitation",Civil Works,International Competitive Bidding,IBRD/IDA,1326490,Energy and mining,Reconstruction of É??Bykhov-1É?ù boiler house at 12B Aviatsionna,9/11/2012 0:00,"OAO ""GSKB""",Belarus,BY,"$3,276,203.00 ",AF/PCRP/ICB/12/14
12/18/2012 0:00,2013,EUROPE AND CENTRAL ASIA,Belarus,BY,P095115,POST-CHERNOBYL RECOVERY,"Works, Buildings",Civil Works,National Competitive Bidding,IBRD/IDA,1325167,Energy and mining,Window & external door blocks replacement at Kranopolje Cent,8/16/2012 0:00,OOO REMAVT,Belarus,BY,"$177,965.00 ",AF/PCRP/NCB/12/17-04
12/18/2012 0:00,2013,EUROPE AND CENTRAL ASIA,Belarus,BY,P118375,ROAD UPGRADE & MODERN,Equipment Information Technology,Goods,Direct Contracting,IBRD/IDA,1325314,"Public Administration, Law, and Justice",HDM4 spftware,9/10/2012 0:00,TRL LTD,United Kingdom,GB,"$14,640.00 ",1
12/18/2012 0:00,2013,EUROPE AND CENTRAL ASIA,Belarus,BY,P101190,WATER SUPPLY AND SANITATION,"Tender Documents, Procurement Assistance",Consultant Services,Individual,IBRD/IDA,1324277,"Water, sanitation and flood protection",Procurement specialist for PCT,8/30/2012 0:00,MR KIRILL ERMAKOVICH,Belarus,BY,"$17,837.00 ",WSSP/2012-13
12/18/2012 0:00,2013,EUROPE AND CENTRAL ASIA,Belarus,BY,P101190,WATER SUPPLY AND SANITATION,"Equipment, Water Supply and Sewerage",Goods,International Competitive Bidding,IBRD/IDA,1328181,"Water, sanitation and flood protection",Equipment for reconstruction & expansion of sewerage purific,11/15/2012 0:00,OOO BELELTIKA,Belarus,BY,"$268,992.00 ",WSSP/ICBG/2012-2_2
12/18/2012 0:00,2013,EUROPE AND CENTRAL ASIA,Belarus,BY,P101190,WATER SUPPLY AND SANITATION,"Equipment, Water Supply and Sewerage",Goods,SHOP,IBRD/IDA,1322884,"Water, sanitation and flood protection",Supply of laboratory equipment and furniture,7/24/2012 0:00,"ZAO ""FIVE OCEANS""",Belarus,BY,"$23,189.00 ",WSSP/ITQ/2012-8
12/18/2012 0:00,2013,EUROPE AND CENTRAL ASIA,Belarus,BY,P101190,WATER SUPPLY AND SANITATION,"Works, Infrastructure",Civil Works,National Competitive Bidding,IBRD/IDA,1324739,"Water, sanitation and flood protection","Construction of the iron removal plant in Bobruisk town (""So",9/5/2012 0:00,ARGINTA,Lithuania,LT,"$1,343,571.00 ",WSSP/NCB/2011-5
12/18/2012 0:00,2013,EUROPE AND CENTRAL ASIA,Belarus,BY,P101190,WATER SUPPLY AND SANITATION,"Works, Maintenance and Rehabilitation",Civil Works,National Competitive Bidding,IBRD/IDA,1327914,"Water, sanitation and flood protection","Remaining works for ""Reconstruction of the basin area of the",11/6/2012 0:00,JSC POZEMINIAI DARBAI,Lithuania,LT,"$3,733,049.00 ",WSSP/NCB/2012-5
12/18/2012 0:00,2013,EUROPE AND CENTRAL ASIA,Belarus,BY,P101190,WATER SUPPLY AND SANITATION,"Works, Infrastructure",Civil Works,National Competitive Bidding,IBRD/IDA,1328422,"Water, sanitation and flood protection","Water supply in Sharkovschina.Phases 3,4, and 7",10/22/2012 0:00,ODO VITSPETSMONTAZH,Belarus,BY,"$538,141.00 ",WSSP/NCB/2012-6
12/18/2012 0:00,2013,EUROPE AND CENTRAL ASIA,Belarus,BY,P101190,WATER SUPPLY AND SANITATION,"Works, Infrastructure",Civil Works,National Competitive Bidding,IBRD/IDA,1328422,"Water, sanitation and flood protection","Water supply in Sharkovschina.Phases 3,4, and 7",10/22/2012 0:00,OOO STROITELNAYA KOMPANIYA RUMSTROI,Belarus,BY,"$538,141.00 ",WSSP/NCB/2012-6
12/18/2012 0:00,2013,EUROPE AND CENTRAL ASIA,Belarus,BY,P111110,Belarus POPs Stockpile Management Projec,Miscellaneous,Goods,SHOP,Global Environment Project,1322886,"Public Administration, Law, and Justice",procurement of containers for removal POPs pesticides,7/6/2012 0:00,OOO POLOTSKPLAST,Belarus,BY,"$15,463.00 ",GEF/S/G-8
12/18/2012 0:00,2013,LATIN AMERICA AND CARIBBEAN,Belize,BZ,P111928,BZ Municipal Development,"Works, Maintenance and Rehabilitation",Civil Works,National Competitive Bidding,IBRD/IDA,1323777,Transportation,"Rehabilittion of municipal streets in San Ignacio, Benque Vi",7/23/2012 0:00,IMER HERNANDEZ DEVELOPMENT CO.,Belize,BZ,"$1,190,532.00 ",NO. BMDP/WKS/010
12/18/2012 0:00,2013,LATIN AMERICA AND CARIBBEAN,Belize,BZ,P111928,BZ Municipal Development,"Works, Maintenance and Rehabilitation",Civil Works,National Competitive Bidding,IBRD/IDA,1325836,Transportation,"Rehabilitation of municipal streets in Corozal, Orange Walk",8/28/2012 0:00,A & N CONSTRUCTION LTD,Belize,BZ,"$1,114,189.00 ",NO. BMDP/WKS/013
12/18/2012 0:00,2013,LATIN AMERICA AND CARIBBEAN,Belize,BZ,P120349,BZ JSDF Improving Children's Health,Administrative Services,Consultant Services,CQS,Recipient Executed Activities,1324993,Health and other social services,Project Coordinator - JSDF,7/20/2012 0:00,CUPERTINA PULCHERIA TEUL,Belize,BZ,"$64,360.00 ",16/12-13
12/18/2012 0:00,2013,AFRICA,Benin,BJ,P113145,Benin Emergency Urban Env. Pr.,Awareness Campaigns,Consultant Services,CQS,IBRD/IDA,1327547,"Water, sanitation and flood protection","PREPARATION DES POPULATIONS DES COMMUNES DE COTONOU, SEME-PO",7/17/2012 0:00,ONG AERAMR,Benin,BJ,"$18,533.00 ",CT N?ß016/CR4937-BJ/PUGEMU/SERHAU
12/18/2012 0:00,2013,AFRICA,Benin,BJ,P113145,Benin Emergency Urban Env. Pr.,Social Studies,Consultant Services,CQS,IBRD/IDA,1327546,"Water, sanitation and flood protection",ETUDE ORGANISATIONNELLE ET DE FINANCEMENT DE LA PRE-COLLECTE,7/17/2012 0:00,GROUPEMENT TPE-CAI,Benin,BJ,"$163,628.00 ",CT N?ß012/CR 4937-BJ/PUGEMU/SERHA
12/18/2012 0:00,2013,AFRICA,Benin,BJ,P113370,eBenin Project,"Equipment, Telecommunications",Goods,International Competitive Bidding,IBRD/IDA,1328135,Information and communications,ACQUISITION INSTALLATION DE MATERIELS INFORMATIQUES BUREAUTI,9/4/2012 0:00,COMTEL TECHNOLOGIES SARL,Benin,BJ,"$10,314.00 ",CT 008/12/AGENTIC/E-BUSINESS/DG/
12/18/2012 0:00,2013,AFRICA,Benin,BJ,P113370,eBenin Project,Equipment Information Technology,Goods,International Competitive Bidding,IBRD/IDA,1328138,Information and communications,Acquisition installation de materiels informatiques bureauti,9/4/2012 0:00,COMTEL TECHNOLOGIES SARL,Benin,BJ,"$71,751.00 ",CT 353/MEF/MDCCTIC/PR/DNCMP/SP
12/18/2012 0:00,2013,AFRICA,Benin,BJ,P113370,eBenin Project,Equipment Information Technology,Goods,International Competitive Bidding,IBRD/IDA,1328137,Information and communications,Acquisition et installation de materiels informatiques burea,9/4/2012 0:00,COMPTOIR INTERNATIONAL AFFAIRES CIA,Benin,BJ,"$271,566.00 ",CT 342/MEF/MDCCTIC/PR/DNCMP/SP
12/18/2012 0:00,2013,AFRICA,Benin,BJ,P104881,Compet & Integrated Growth Opportunity,"Equipment, Agricultural",Goods,International Competitive Bidding,IBRD/IDA,1324884,Industry and trade,"FOURNITURE, INSTALLATION ET MISE EN SERVICE D'UN SYSTEME DE",8/8/2012 0:00,GROUPEMENT ISE-RCB,Benin,BJ,"$318,156.00 ",
12/18/2012 0:00,2013,AFRICA,Benin,BJ,P113370,eBenin Project,Financial Services,Consultant Services,Single Source Selection,IBRD/IDA,1328116,Information and communications,ELABORATION MANUEL PROCEDURES COMPTABLES ET FINANCIERES DU P,9/11/2012 0:00,COFIMA,Benin,BJ,"$9,851.00 ",012/MCTIC/P-E-BENIN/SGF/SPM
12/18/2012 0:00,2013,AFRICA,Benin,BJ,P113370,eBenin Project,Equipment Information Technology,Goods,SHOP,IBRD/IDA,1328124,Information and communications,FOURNITURE ET INSTALLATIN DE 02 SERVEURS POUR HEBERGEMENT D,11/1/2012 0:00,OPTIMUM TRANSAC,Benin,BJ,"$37,482.00 ",017/12/MCTIC/P-E-B/SGF/SPM
12/18/2012 0:00,2013,AFRICA,Benin,BJ,P113370,eBenin Project,Legal Advisory Services,Consultant Services,Individual,IBRD/IDA,1328122,Information and communications,SELECTION D UN NOTAIRE POUR LA FINALISATION DES DOCUMENTS CO,10/15/2012 0:00,MAITRE DENISE EHOUZOU GANGNITO,Benin,BJ,"$2,805.00 ",019/MCTIC/P-E-BENIN/SGF/SPM
12/18/2012 0:00,2013,AFRICA,Benin,BJ,P113145,Benin Emergency Urban Env. Pr.,Project Management,Consultant Services,Single Source Selection,IBRD/IDA,1328241,"Water, sanitation and flood protection",LOCATION IMMEUBLE POUR ABRITER LES BUREAUX DE LA CELLULE DE,7/11/2012 0:00,MR YAYA-OYE AKIBOU,Benin,BJ,"$45,806.00 ",N?ß11/CREDIT4937-BJ/PUGEMU/SERHAU
12/18/2012 0:00,2013,SOUTH ASIA,Bhutan,BT,P125310,BT: Corporate Governance TA,"Sector studies, Master Plans",Consultant Services,Individual,Institutional Development Fund,1327441,Finance,Strengthening the Institutional Capacity of DHI to Improve C,7/3/2012 0:00,ANNE E MOLYNEUX,Australia,AU,"$83,690.00 ",INTERNATIONAL CONSULTANT
